@relation BOOKKEEPER_3/BOOKKEEPER_3_training_set.arff

@attribute ' Size' numeric
@attribute ' LOCAdded' numeric
@attribute ' LOCTouched' numeric
@attribute ' maxLOCAdded' numeric
@attribute ' averageLOCAdded' numeric
@attribute ' NR' numeric
@attribute ' Churn' numeric
@attribute ' MaxChurn' numeric
@attribute ' AverageChurn' numeric
@attribute ' nAuthors' numeric
@attribute Buggy {'true','false'}

@data
94,0,0,0,0.0,0,0,0,NaN,0,false
342,42,78,42,42.0,1,6,6,6.0,1,false
168,14,14,14,14.0,1,14,14,14.0,1,false
165,59,81,59,59.0,1,37,37,37.0,1,false
162,13,13,13,13.0,1,13,13,13.0,1,false
31,0,0,0,0.0,0,0,0,NaN,0,false
94,0,0,0,0.0,0,0,0,NaN,0,false
63,9,9,9,9.0,1,9,9,9.0,1,false
366,1,2,1,1.0,1,0,0,0.0,1,false
682,120,144,38,30.0,4,96,37,24.0,1,false
40,40,40,40,40.0,1,40,40,40.0,1,false
57,0,0,0,0.0,0,0,0,NaN,0,false
318,86,91,47,28.0,3,81,47,27.0,2,false
71,0,0,0,0.0,0,0,0,NaN,0,false
124,0,0,0,0.0,0,0,0,NaN,0,false
355,253,334,241,84.0,3,172,174,57.33333206176758,1,false
136,3,3,3,3.0,1,3,3,3.0,1,false
37,0,0,0,0.0,0,0,0,NaN,0,false
283,36,42,23,9.0,4,30,23,7.5,3,false
27,0,0,0,0.0,0,0,0,NaN,0,false
85,24,27,24,24.0,1,21,21,21.0,1,false
77,0,0,0,0.0,0,0,0,NaN,0,false
6523,6504,12852,6504,6504.0,1,156,156,156.0,1,false
744,43,46,29,14.0,3,40,28,13.333333015441895,1,false
473,375,748,253,31.0,12,2,59,0.1666666716337204,3,false
47,0,0,0,0.0,0,0,0,NaN,0,false
147,5,7,5,5.0,1,3,3,3.0,1,false
39,0,0,0,0.0,0,0,0,NaN,0,false
52,55,58,53,27.0,2,52,53,26.0,1,false
92,92,92,92,92.0,1,92,92,92.0,1,false
83,0,0,0,0.0,0,0,0,NaN,0,false
55,55,55,55,55.0,1,55,55,55.0,1,false
62,74,235,36,14.0,5,-87,30,-17.399999618530273,1,false
153,0,0,0,0.0,0,0,0,NaN,0,false
38,0,0,0,0.0,0,0,0,NaN,0,false
51,52,53,51,26.0,2,51,51,25.5,1,false
58,58,58,58,58.0,1,58,58,58.0,1,false
139,12,22,12,12.0,1,2,2,2.0,1,false
37,0,0,0,0.0,0,0,0,NaN,0,false
58,0,0,0,0.0,0,0,0,NaN,0,false
90,91,91,91,91.0,1,91,91,91.0,1,false
28,0,0,0,0.0,0,0,0,NaN,0,false
39,0,0,0,0.0,0,0,0,NaN,0,false
127,59,94,37,11.0,5,24,14,4.800000190734863,2,false
63,0,0,0,0.0,0,0,0,NaN,0,false
189,17,18,15,5.0,3,16,15,5.333333492279053,2,false
549,182,192,110,30.0,6,172,110,28.66666603088379,2,false
